Reference area,Year,Electronic_Import_Value_Billions
China,2019,430.5
China,2020,450.2
China,2021,552.1
China,2022,520.4
China,2023,485.2
China,2024,512.4
China,2025,538.5
United States,2019,345.2
United States,2020,360.5
United States,2021,420.8
United States,2022,415.6
United States,2023,410.5
United States,2024,435.2
United States,2025,458.1
Germany,2019,125.4
Germany,2020,130.1
Germany,2021,158.2
Germany,2022,160.5
Germany,2023,162.1
Germany,2024,168.4
Germany,2025,175.2
Vietnam,2019,78.5
Vietnam,2020,95.4
Vietnam,2021,110.2
Vietnam,2022,118.9
Vietnam,2023,125.4
Vietnam,2024,142.1
Vietnam,2025,158.4
India,2019,52.1
India,2020,55.6
India,2021,65.8
India,2022,68.2
India,2023,73.4
India,2024,82.5
India,2025,94.2
Mexico,2019,88.4
Mexico,2020,92.1
Mexico,2021,105.1
Mexico,2022,108.5
Mexico,2023,112.4
Mexico,2024,118.5
Mexico,2025,126.3
Japan,2019,95.2
Japan,2020,98.4
Japan,2021,112.5
Japan,2022,110.1
Japan,2023,108.4
Japan,2024,112.6
Japan,2025,116.8
South Korea,2019,85.1
South Korea,2020,88.6
South Korea,2021,102.4
South Korea,2022,100.5
South Korea,2023,98.2
South Korea,2024,104.5
South Korea,2025,108.9
Netherlands,2019,70.2
Netherlands,2020,72.5
Netherlands,2021,85.6
Netherlands,2022,88.1
Netherlands,2023,90.4
Netherlands,2024,95.2
Netherlands,2025,101.4
Singapore,2019,68.4
Singapore,2020,70.1
Singapore,2021,82.3
Singapore,2022,80.5
Singapore,2023,78.6
Singapore,2024,84.1
Singapore,2025,88.5
United Kingdom,2019,62.5
United Kingdom,2020,65.2
United Kingdom,2021,75.4
United Kingdom,2022,72.8
United Kingdom,2023,70.2
United Kingdom,2024,74.5
United Kingdom,2025,78.9
France,2019,58.4
France,2020,60.1
France,2021,68.9
France,2022,70.2
France,2023,72.5
France,2024,76.8
France,2025,80.4
Brazil,2019,35.2
Brazil,2020,38.4
Brazil,2021,45.6
Brazil,2022,42.1
Brazil,2023,40.5
Brazil,2024,44.2
Brazil,2025,48.6
Canada,2019,42.1
Canada,2020,44.5
Canada,2021,52.3
Canada,2022,50.8
Canada,2023,48.9
Canada,2024,52.4
Canada,2025,55.8
Italy,2019,40.5
Italy,2020,42.1
Italy,2021,48.9
Italy,2022,47.5
Italy,2023,46.8
Italy,2024,49.5
Italy,2025,52.1
Malaysia,2019,45.8
Malaysia,2020,50.2
Malaysia,2021,58.4
Malaysia,2022,60.1
Malaysia,2023,62.5
Malaysia,2024,68.4
Malaysia,2025,74.1
Thailand,2019,38.2
Thailand,2020,40.5
Thailand,2021,48.1
Thailand,2022,49.6
Thailand,2023,51.2
Thailand,2024,55.4
Thailand,2025,60.2
Turkey,2019,22.4
Turkey,2020,24.1
Turkey,2021,28.5
Turkey,2022,30.2
Turkey,2023,32.5
Turkey,2024,35.8
Turkey,2025,39.4
Indonesia,2019,25.1
Indonesia,2020,28.4
Indonesia,2021,32.5
Indonesia,2022,34.8
Indonesia,2023,36.2
Indonesia,2024,40.1
Indonesia,2025,44.5
Poland,2019,28.4
Poland,2020,30.5
Poland,2021,36.2
Poland,2022,38.4
Poland,2023,40.1
Poland,2024,43.5
Poland,2025,47.2
